name_common,age,mlb_ID,player_ID,year_ID,team_ID,stint_ID,lg_ID,G,GS,IPouts,IPouts_start,IPouts_relief,RA,xRA,xRA_sprp_adj,xRA_extras_adj,xRA_def_pitcher,PPF,PPF_custom,xRA_final,BIP,BIP_perc,RS_def_total,runs_above_avg,runs_above_avg_adj,runs_above_rep,RpO_replacement,GR_leverage_index_avg,WAR,salary,teamRpG,oppRpG,pyth_exponent,waa_win_perc,WAA,WAA_adj,oppRpG_rep,pyth_exponent_rep,waa_win_perc_rep,WAR_rep,ERA_plus,ER_lg
Matt Bowman,32,621199,bowmama01,2023,NYY,1,AL,3,0,12,0,12,4,1.981,-0.132,0,0.078,101,109.3,1.936,15,0.0037,21,-2.064,-2.113,-1.68,0.203,1.08,-0.18,NULL,4.6077,5.31203,1.923,0.432,-0.204,-0.0176,4.73454,1.891,0.4872,0.0386,52.275,2.091
Austin Voth,30,608723,vothau01,2022,WSN,1,NL,19,0,56,0,56,22,9.155,-0.612,0,-0.672,97,97.745,9.007,70,0.016,-42,-12.993,-12.949,-11.282,0.194,0.4474,-0.8,875000,4.39519,5.07672,1.898,0.432,-1.292,0.3056,4.48541,1.863,0.4905,0.1821,39.64285714,8.325
Phil Bickford,28,641360,bickfph01,2024,NYY,1,AL,8,0,25,0,25,9,4.262,-0.286,0,0.296,102,98.41,3.621,30,0.0074,40,-5.379,-5.42,-4.617,0.193,0.1513,-0.25,NULL,4.38443,5.06193,1.896,0.4323,-0.5416,0.2126,4.47821,1.862,0.4901,0.0812,49.5875,3.967
Yohan RamÃ­rez,29,670990,ramiryo01,2024,NYM,1,NL,5,0,25,0,25,7,4.069,-0.271,0,0.086,95,96.976,3.6,26,0.0066,13,-3.4,-3.429,-2.622,0.198,0.778,-0.24,NULL,4.47804,5.16384,1.908,0.4324,-0.338,0.015,4.63569,1.877,0.4838,0.0802,54.42857143,3.81
Ernie Clement,27,676391,clemeer01,2023,TOR,1,AL,1,0,3,0,3,1,0.461,-0.031,0,0.129,99,104,0.313,6,0.0015,86,-0.687,-0.699,-0.591,0.203,0,-0.03,NULL,4.6077,5.3067,1.923,0.4325,-0.0675,0.0314,4.70283,1.889,0.4904,0.0096,64.6,0.646
Mychal Givens,33,571710,givenmy01,2023,BAL,1,AL,6,0,12,0,12,6,2.146,-0.143,0,0.078,96,96.818,1.864,13,0.0031,25,-4.136,-4.185,-3.752,0.203,0.965,-0.37,3000000,4.6077,5.3052,1.923,0.4326,-0.4044,-0.0023,4.67112,1.887,0.4936,0.0386,39.54,1.977
Janson Junk,26,676083,junkja01,2022,LAA,1,AL,3,2,25,22,3,6,3.657,0.119,0,0.091,103,108.162,3.986,23,0.0057,16,-2.014,-1.971,-1.275,0.188,0.28,-0.12,NULL,4.25074,4.90774,1.88,0.4329,-0.2013,0.0008,4.50057,1.856,0.4735,0.0798,64.55,3.873
Jake Odorizzi,32,543606,odorija01,2022,ATL,2,NL,10,10,139,139,0,29,22.948,1.046,0,1.105,101,96.962,22.194,149,0.0381,29,-6.806,-6.697,-2.559,0.194,1,-0.27,NULL,4.39519,5.06489,1.897,0.4331,-0.669,-0.0388,4.82067,1.883,0.4566,0.438,78.69259259,21.247
Domingo Acevedo,29,642758,acevedo01,2023,OAK,1,AL,9,0,28,0,28,11,4.855,-0.324,0,-0.688,95,93.489,4.879,37,0.0086,-80,-6.121,-6.236,-5.224,0.203,1.4578,-0.67,725000,4.6077,5.30059,1.922,0.4331,-0.6021,-0.1598,4.70635,1.889,0.49,0.0904,41.09090909,4.52
Justin Verlander,41,434378,verlaju01,2024,HOU,1,AL,17,17,271,271,0,56,44.751,2.032,0,0.956,98,98.475,45.128,289,0.0735,13,-10.872,-11.312,-2.612,0.193,1,-0.34,43333333,4.38443,5.04984,1.896,0.4334,-1.1322,-0.0593,4.86283,1.885,0.4514,0.8479,72.20545455,39.713
Jared Solomon,25,676660,solomja01,2022,CIN,1,NL,9,0,25,0,25,10,3.723,-0.249,0,-0.183,107,109.487,4.004,24,0.0059,-31,-5.996,-5.976,-5.232,0.194,0.2656,-0.32,NULL,4.39519,5.05919,1.897,0.4337,-0.5967,0.1961,4.48022,1.863,0.4911,0.0808,41.86,4.186
JosÃ© BerrÃ­os,28,621244,berrijo01,2022,TOR,1,AL,32,32,516,516,0,103,83.886,3.867,0,5.909,99,99.416,81.366,546,0.1313,45,-21.634,-20.745,-6.386,0.188,1,-0.64,10714286,4.25074,4.89902,1.879,0.4337,-2.1216,-0.1278,4.73417,1.87,0.4498,1.6132,73.641,73.641
Willi Castro,26,650489,castrwi01,2023,MIN,1,AL,3,0,7,0,7,3,1.138,-0.076,0,0.06,100,97.273,0.975,9,0.0023,26,-2.025,-2.054,-1.801,0.203,0,-0.08,1800000,4.6077,5.29237,1.922,0.4338,-0.1986,0.0938,4.68169,1.887,0.4925,0.0226,43.4,1.302
Brandon Pfaadt,24,694297,pfaadbr01,2023,ARI,1,NL,19,18,288,288,0,63,50.318,2.345,0,2.785,99,99.42,49.589,298,0.0714,39,-13.411,-13.208,-3.988,0.208,0.82,-0.42,NULL,4.70669,5.40185,1.933,0.4338,-1.2578,-0.0668,5.20736,1.923,0.4516,0.9035,76.92786885,46.926
Robbie Erlin,31,572362,erlinro01,2022,LAD,1,NL,2,0,6,0,6,2,0.861,-0.058,0,0.148,99,102.667,0.672,7,0.0018,82,-1.328,-1.323,-1.145,0.194,0.095,-0.06,NULL,4.39519,5.05669,1.897,0.4339,-0.1322,0.0543,4.48702,1.863,0.4904,0.0194,53.1,1.062
Casey Mize,25,663554,mizeca01,2022,DET,1,AL,2,2,30,30,0,6,4.471,0.206,0,0.246,100,105.111,4.657,39,0.0091,27,-1.343,-1.291,-0.457,0.188,1,-0.05,NULL,4.25074,4.89624,1.879,0.434,-0.132,-0.0074,4.70044,1.868,0.4532,0.094,74.75,4.485
Josh Winckowski,24,670174,winckjo01,2022,BOS,1,AL,15,14,211,202,9,47,33.004,1.363,0,0.46,108,109.146,37.008,243,0.0575,8,-9.992,-9.629,-3.757,0.188,0.02,-0.36,NULL,4.25074,4.89267,1.879,0.4343,-0.9855,-0.0367,4.67246,1.866,0.456,0.6628,71.61956522,32.945
Joan Adon,24,672851,adonjo01,2023,WSN,1,NL,12,10,155,140,15,37,26.883,0.96,0,-1.088,98,99,28.642,165,0.0375,-29,-8.358,-8.249,-3.286,0.208,0.335,-0.32,NULL,4.70669,5.39411,1.933,0.4345,-0.786,-0.0214,5.13333,1.919,0.4585,0.4893,66.42972973,24.579
Tom Cosgrove,28,676680,cosgrto01,2024,SDP,1,NL,18,0,44,0,44,19,7.686,-0.512,0,-0.174,99,97.211,7.143,50,0.0124,-14,-11.857,-11.908,-10.487,0.198,0.6628,-0.87,750500,4.47804,5.1396,1.906,0.4347,-1.1754,0.1586,4.55512,1.872,0.492,0.1426,36.03157895,6.846
