name_common,age,mlb_ID,player_ID,year_ID,team_ID,stint_ID,lg_ID,G,GS,IPouts,IPouts_start,IPouts_relief,RA,xRA,xRA_sprp_adj,xRA_extras_adj,xRA_def_pitcher,PPF,PPF_custom,xRA_final,BIP,BIP_perc,RS_def_total,runs_above_avg,runs_above_avg_adj,runs_above_rep,RpO_replacement,GR_leverage_index_avg,WAR,salary,teamRpG,oppRpG,pyth_exponent,waa_win_perc,WAA,WAA_adj,oppRpG_rep,pyth_exponent_rep,waa_win_perc_rep,WAR_rep,ERA_plus,ER_lg
Thomas Szapucki,26,663378,szaputh01,2022,NYM,1,NL,1,1,4,4,0,9,0.687,0.031,0,-0.002,95,94,0.677,8,0.0021,-1,-8.323,-8.32,-8.201,0.194,1,-0.4,NULL,4.39519,12.71519,2.246,0.0843,-0.4157,-0.0011,4.51763,1.865,0.4872,0.0129,8.233333333,0.741
Thomas Hatch,27,641672,hatchto01,2022,TOR,1,AL,1,1,14,14,0,10,2.265,0.104,0,0.207,99,98,2.119,19,0.0046,45,-7.881,-7.857,-7.467,0.188,1,-0.37,NULL,4.25074,12.10774,2.218,0.0893,-0.4107,-0.0035,4.67046,1.866,0.4562,0.044,21.63,2.163
Jerad Eickhoff,31,595191,eickhje01,2022,PIT,1,NL,1,1,13,13,0,10,1.942,0.089,0,0,100,100,2.031,19,0.0044,0,-7.969,-7.959,-7.572,0.194,1,-0.37,NULL,4.39519,12.35419,2.233,0.0905,-0.4095,-0.0036,4.79312,1.882,0.4593,0.0411,21.22,2.122
Seth Johnson,25,686751,johnsse01,2024,PHI,1,NL,1,1,7,7,0,9,0.888,0.041,0,0.011,98,118,1.083,15,0.0036,3,-7.917,-7.925,-7.699,0.198,1,-0.39,NULL,4.47804,12.40304,2.238,0.0928,-0.4072,-0.0019,4.69875,1.881,0.4774,0.0224,13.56666667,1.221
Michael Plassmeyer,26,674681,plassmi01,2023,PHI,1,NL,1,1,11,11,0,10,1.938,0.09,0,-0.133,98,92,1.988,16,0.0039,-34,-8.012,-8.004,-7.652,0.208,1,-0.37,NULL,4.70669,12.71069,2.258,0.0959,-0.4041,-0.0026,5.07002,1.915,0.4645,0.0349,21.33333333,1.92
Wes Parsons,30,641149,parsowe01,2023,TOR,1,AL,1,1,12,12,0,9,2.495,0.114,0,0.404,99,98,2.161,19,0.0047,86,-6.839,-6.888,-6.455,0.203,1,-0.35,NULL,4.6077,11.4957,2.208,0.1173,-0.3827,-0.0025,4.98822,1.905,0.4623,0.0379,23.02222222,2.072
Hunter Gaddis,24,683769,gaddihu01,2022,CLE,1,AL,2,2,22,22,0,15,3.599,0.166,0,0.608,97,94,2.968,32,0.0078,78,-12.032,-11.994,-11.382,0.188,1,-0.67,NULL,4.25074,10.24774,2.143,0.1317,-0.7366,-0.0054,4.58052,1.86,0.4653,0.0697,21.59333333,3.239
Tommy Romero,24,676720,romerto01,2022,WSN,2,NL,1,1,11,11,0,8,1.994,0.091,0,-0.164,97,94,2.114,17,0.0039,-42,-5.886,-5.877,-5.55,0.194,1,-0.33,NULL,4.39519,10.27219,2.15,0.1388,-0.3612,-0.0031,4.7319,1.878,0.4654,0.0349,29.53333333,1.772
Matt Mervis,26,670223,mervima01,2024,CHC,1,NL,1,0,2,0,2,6,0.3,-0.02,0,0.101,96,112,0.2,9,0.0022,46,-5.8,-5.802,-5.738,0.198,0,-0.17,740000,4.47804,10.28004,2.154,0.1431,-0.3569,0.1767,4.5411,1.872,0.4935,0.0064,7.733333333,0.464
Jake Reed,30,596082,reedja02,2023,LAD,1,NL,1,0,2,0,2,6,0.37,-0.024,0,0.082,99,104,0.275,5,0.0012,68,-5.725,-5.724,-5.66,0.208,0.24,-0.21,NULL,4.70669,10.43069,2.169,0.1511,-0.3489,0.1307,4.77275,1.898,0.4934,0.0065,8.133333333,0.488
Daulton Jefferies,28,641726,jeffeda01,2024,SFG,1,NL,2,1,14,6,8,13,2.255,-0.041,0,0.012,93,104.774,2.307,25,0.0062,2,-10.693,-10.709,-10.257,0.198,0.92,-0.63,NULL,4.47804,9.83254,2.135,0.1572,-0.6856,0.0069,4.69875,1.881,0.4774,0.0448,24.05555556,2.165
Cade Cavalli,23,676917,cavalca01,2022,WSN,1,NL,1,1,13,13,0,7,1.843,0.084,0,-0.113,97,94,1.918,12,0.0027,-42,-5.082,-5.072,-4.685,0.194,1,-0.3,NULL,4.39519,9.46719,2.116,0.1647,-0.3353,-0.0036,4.79312,1.882,0.4593,0.0411,29.47142857,2.063
Brady Feigl,33,621399,feiglbr01,2024,PIT,1,NL,1,0,5,0,5,6,0.924,-0.062,0,-0.031,101,102,0.911,11,0.0026,-12,-5.089,-5.095,-4.933,0.198,0.01,-0.16,NULL,4.47804,9.57304,2.124,0.1661,-0.3339,0.1608,4.63569,1.877,0.4838,0.016,15.73333333,0.944
Allan Winans,28,642216,winanal01,2024,ATL,1,NL,2,2,23,23,0,14,4.164,0.191,0,0.269,100,100,4.086,33,0.0084,32,-9.914,-9.94,-9.198,0.198,1,-0.59,740000,4.47804,9.44804,2.118,0.1706,-0.6588,-0.0062,4.84064,1.889,0.4633,0.0727,28.42307692,3.695
Hurston Waldrep,22,694462,waldrhu01,2024,ATL,1,NL,2,2,21,21,0,13,3.239,0.149,0,0.195,100,97,3.097,24,0.0061,32,-9.903,-9.927,-9.249,0.198,1,-0.6,740000,4.47804,9.44154,2.118,0.1708,-0.6584,-0.0057,4.80911,1.887,0.4664,0.0665,26.06923077,3.389
Blair Henley,27,668874,henlebl01,2024,HOU,1,AL,1,1,1,1,0,5,0.17,0.008,0,0.017,98,96,0.155,5,0.0013,13,-4.845,-4.847,-4.815,0.193,1,-0.32,740000,4.38443,9.23143,2.105,0.1726,-0.3274,-0.0002,4.41444,1.858,0.4968,0.0033,6.32,0.316
Stephen Strasburg,33,544931,strasst01,2022,WSN,1,NL,1,1,14,14,0,7,1.898,0.087,0,-0.143,97,102,2.171,15,0.0034,-42,-4.829,-4.818,-4.401,0.194,1,-0.29,35000000,4.39519,9.21319,2.104,0.174,-0.326,-0.0039,4.82373,1.883,0.4563,0.0441,31.55714286,2.209
JosÃ© ButtÃ³,24,676130,buttojo01,2022,NYM,1,NL,1,1,12,12,0,7,2.175,0.099,0,-0.004,95,96,2.187,16,0.0041,-1,-4.813,-4.804,-4.446,0.194,1,-0.29,NULL,4.39519,9.19919,2.104,0.1745,-0.3255,-0.0033,4.76251,1.88,0.4623,0.038,26.88571429,1.882
Dallas Keuchel,34,572971,keuchda01,2022,TEX,3,AL,2,2,30,30,0,14,4.295,0.198,0,0.093,102,109.52,4.819,39,0.0093,10,-9.181,-9.129,-8.295,0.188,1,-0.55,NULL,4.25074,8.81524,2.08,0.1799,-0.6402,-0.0074,4.70044,1.868,0.4532,0.094,32.65,4.571
Andrelton Simmons,32,592743,simmoan01,2022,CHC,1,NL,1,0,3,0,3,5,0.425,-0.028,0,0.006,103,114,0.446,8,0.0019,3,-4.554,-4.552,-4.462,0.194,0,-0.15,4000000,4.39519,8.94719,2.093,0.1843,-0.3157,0.1551,4.48702,1.863,0.4904,0.0097,12.68,0.634
Max Schrock,27,621011,schroma01,2022,CIN,1,NL,1,0,3,0,3,5,0.448,-0.03,0,-0.074,107,106,0.522,10,0.0024,-31,-4.478,-4.476,-4.386,0.194,0.01,-0.15,NULL,4.39519,8.87119,2.089,0.1874,-0.3126,0.1519,4.48702,1.863,0.4904,0.0097,13.04,0.652
Josiah Gray,26,680686,grayjo03,2024,WSN,1,NL,2,2,25,25,0,13,3.676,0.169,0,-0.098,97,103,4.061,30,0.007,-14,-8.939,-8.968,-8.161,0.198,1,-0.55,757400,4.47804,8.96204,2.097,0.1892,-0.6216,-0.0067,4.87217,1.891,0.4602,0.0788,29.9,3.887
RenÃ© Pinto,26,650907,pintore02,2023,TBR,1,AL,1,0,3,0,3,5,0.571,-0.038,0,0.046,97,96,0.468,8,0.002,23,-4.532,-4.544,-4.436,0.203,0,-0.15,NULL,4.6077,9.1517,2.111,0.1902,-0.3098,0.1525,4.70283,1.889,0.4904,0.0096,12.72,0.636
Alec Mills,31,621219,millsal02,2023,CIN,1,NL,1,0,3,0,3,5,0.559,-0.037,0,-0.049,104,108,0.617,8,0.0019,-26,-4.383,-4.381,-4.285,0.208,0.23,-0.18,NULL,4.70669,9.08769,2.113,0.1994,-0.3006,0.1128,4.80578,1.9,0.4901,0.0097,34.3,0.686
Chris Mazza,32,607391,mazzach01,2022,TBR,1,AL,2,0,16,9,7,10,2.345,-0.007,0,0.13,94,94.857,2.094,22,0.0054,24,-7.906,-7.878,-7.433,0.188,0.945,-0.54,NULL,4.25074,8.18974,2.051,0.2067,-0.5866,-0.0008,4.49058,1.855,0.4746,0.051,33.32857143,2.333
Matt Festa,31,670036,festama01,2024,NYM,1,NL,1,0,3,0,3,5,0.525,-0.035,0.618,0.02,95,90,0.979,6,0.0015,13,-4.021,-4.024,-3.928,0.198,3.94,-0.71,NULL,4.47804,8.50204,2.076,0.209,-0.291,-0.4305,4.57263,1.874,0.4902,0.0097,15.175,0.607
Parker Dunshee,29,670161,dunshpa01,2024,ATL,1,NL,1,0,7,0,7,5,1.184,-0.079,0,0.064,100,100,1.041,8,0.002,32,-3.959,-3.967,-3.741,0.198,0.08,-0.14,NULL,4.47804,8.44504,2.074,0.2115,-0.2885,0.1264,4.69875,1.881,0.4774,0.0224,24.86,1.243
Sean Nolin,33,543594,nolinse01,2023,MIA,1,NL,1,0,9,0,9,6,2.007,-0.132,0,-0.025,102,102,1.938,14,0.0035,-7,-4.062,-4.056,-3.768,0.208,0.09,-0.14,NULL,4.70669,8.76269,2.098,0.2135,-0.2865,0.1218,5.00396,1.911,0.4708,0.0287,28.88333333,1.733
Luke Raley,28,670042,raleylu01,2023,TBR,1,AL,2,0,8,0,8,9,1.254,-0.084,0,0.104,97,98.421,1.049,18,0.0045,23,-7.951,-7.984,-7.695,0.203,0,-0.27,722300,4.6077,8.5997,2.087,0.2138,-0.5724,0.2799,4.73454,1.891,0.4872,0.0257,15.7,1.413
Josh VanMeter,27,642165,vanmejo01,2022,PIT,1,NL,3,0,9,0,9,13,1.594,-0.107,0,0,100,100,1.487,25,0.0058,0,-11.513,-11.506,-11.238,0.194,0,-0.41,NULL,4.39519,8.23052,2.06,0.2155,-0.8535,0.4185,4.48702,1.863,0.4904,0.0291,11.7,1.521
T.J. Zeuch,26,643615,zeuchtj01,2022,CIN,1,NL,3,3,32,32,0,18,5.882,0.268,0,-0.372,107,100.781,6.573,49,0.012,-31,-11.427,-11.402,-10.449,0.194,1,-0.76,NULL,4.39519,8.19586,2.058,0.2171,-0.8487,-0.0089,4.7217,1.877,0.4664,0.1017,29.50555556,5.311
Jake Faria,29,607188,fariaja01,2023,BOS,1,AL,1,0,6,0,6,5,1.109,-0.074,0,-0.031,106,104,1.109,7,0.0017,-18,-3.891,-3.916,-3.699,0.203,0.01,-0.13,NULL,4.6077,8.5237,2.083,0.2173,-0.2827,0.1352,4.79796,1.894,0.4809,0.0192,23.56,1.178
JosÃ© Castillo,27,620454,castijo03,2023,SDP,1,NL,1,0,1,0,1,4,0.152,-0.01,0,0.038,93,86,0.089,3,0.0007,54,-3.911,-3.91,-3.878,0.208,0.03,-0.14,730000,4.70669,8.61669,2.092,0.2201,-0.2799,0.1348,4.73972,1.896,0.4967,0.0032,8.15,0.326
Miles Mastrobuoni,27,670156,mastrmi01,2023,CHC,1,NL,1,0,1,0,1,4,0.181,-0.012,0,0.049,102,100,0.12,5,0.0012,41,-3.88,-3.879,-3.847,0.208,0,-0.14,720500,4.70669,8.58569,2.09,0.2216,-0.2784,0.1382,4.73972,1.896,0.4967,0.0032,8.175,0.327
Taylor Hearn,28,621368,hearnta01,2023,ATL,2,NL,1,0,1,0,1,4,0.171,-0.011,0,0.019,101,102,0.144,3,0.0007,27,-3.856,-3.855,-3.823,0.208,0.02,-0.14,NULL,4.70669,8.56169,2.089,0.2227,-0.2773,0.1349,4.73972,1.896,0.4967,0.0032,8.275,0.331
Albert Pujols,42,405395,pujolal01,2022,STL,1,NL,1,0,3,0,3,4,0.515,-0.034,0,0.087,96,92,0.362,6,0.0014,62,-3.638,-3.636,-3.546,0.194,0,-0.13,2500000,4.39519,8.03119,2.051,0.2251,-0.2749,0.1347,4.48702,1.863,0.4904,0.0097,15.05,0.602
Cody Sedlock,27,642060,sedloco01,2022,BAL,1,AL,1,0,9,0,9,5,1.434,-0.095,0,0.104,100,116,1.433,12,0.0028,37,-3.567,-3.552,-3.301,0.188,0.14,-0.14,NULL,4.25074,7.80274,2.033,0.2253,-0.2747,0.1108,4.52056,1.857,0.4715,0.0286,29.28,1.464
Diego Castillo,24,660636,castidi02,2022,PIT,1,NL,2,0,6,0,6,8,0.897,-0.06,0,0,100,102.8,0.86,10,0.0023,0,-7.14,-7.135,-6.957,0.194,0,-0.26,NULL,4.39519,7.96269,2.047,0.2286,-0.5428,0.2659,4.48702,1.863,0.4904,0.0194,13.3875,1.071
Robbie Ray,31,592662,rayro02,2023,SEA,1,AL,1,1,10,10,0,5,1.521,0.07,0,0.041,94,88,1.364,11,0.0027,15,-3.636,-3.677,-3.316,0.203,1,-0.24,21000000,4.6077,8.2847,2.072,0.2287,-0.2713,-0.0021,4.9248,1.901,0.4684,0.0318,54.26666667,1.628
MartÃ­n Maldonado,36,455117,maldoma01,2023,HOU,1,AL,1,0,3,0,3,4,0.512,-0.034,0,0.05,98,96,0.411,8,0.002,25,-3.589,-3.601,-3.493,0.203,0,-0.13,4000000,4.6077,8.2087,2.069,0.2324,-0.2676,0.1314,4.70283,1.889,0.4904,0.0096,16.025,0.641
Zac Lowther,26,675912,lowthza01,2022,BAL,1,AL,1,0,16,16,0,6,2.66,0.123,0,0.204,100,100,2.579,24,0.0055,37,-3.421,-3.393,-2.948,0.188,1.82,-0.22,NULL,4.25074,7.64374,2.025,0.2336,-0.2664,-0.004,4.73042,1.869,0.4502,0.05,49.42,2.471
Dallas Keuchel,34,572971,keuchda01,2022,ARI,2,NL,4,4,56,56,0,22,8.114,0.37,0,0.73,99,105.371,8.17,64,0.0149,49,-13.83,-13.786,-12.119,0.194,1,-0.9,NULL,4.39519,7.84169,2.042,0.2347,-1.0612,-0.0156,4.82373,1.883,0.4563,0.1764,42.465,8.493
Luis Guillorme,29,641645,guilllu01,2024,ATL,1,NL,1,0,3,0,3,4,0.604,-0.04,0,0.048,100,100,0.516,6,0.0015,32,-3.484,-3.487,-3.391,0.198,0,-0.13,1100000,4.47804,7.96504,2.051,0.2349,-0.2651,0.1299,4.57263,1.874,0.4902,0.0097,15.75,0.63
Vidal BrujÃ¡n,26,660644,brujavi01,2024,MIA,1,NL,2,0,5,0,5,8,0.998,-0.066,0,-0.055,109,118,1.165,11,0.0026,-21,-6.835,-6.841,-6.679,0.198,0,-0.25,745800,4.47804,7.89854,2.048,0.2383,-0.5234,0.2572,4.55687,1.873,0.4918,0.0162,12.5625,1.005
Brandon Crawford,37,543063,crawfbr01,2024,STL,1,NL,1,0,4,0,4,4,0.696,-0.046,0,0.063,101,102,0.599,7,0.0017,37,-3.401,-3.406,-3.276,0.198,0,-0.12,2000000,4.47804,7.88404,2.048,0.2389,-0.2611,0.127,4.60416,1.875,0.487,0.0129,19.725,0.789
Erich Uelmen,27,657272,uelmeer01,2023,PHI,1,NL,1,0,3,0,3,4,0.555,-0.037,0,-0.041,98,96,0.537,5,0.0012,-34,-3.463,-3.461,-3.365,0.208,0.49,-0.19,NULL,4.70669,8.16769,2.071,0.242,-0.258,0.0629,4.80578,1.9,0.4901,0.0097,16.175,0.647
Danny Mendick,29,664901,mendida01,2023,NYM,1,NL,2,0,6,0,6,8,1.211,-0.08,0,-0.052,96,94.8,1.121,15,0.0037,-14,-6.879,-6.875,-6.683,0.208,0,-0.24,1000000,4.70669,8.14419,2.07,0.2432,-0.5136,0.2511,4.80578,1.9,0.4901,0.0195,13.6875,1.095
Huascar Ynoa,24,660623,ynoahu01,2022,ATL,1,NL,2,2,20,20,0,10,3.455,0.158,0,0.171,101,99.946,3.44,23,0.0059,29,-6.56,-6.544,-5.949,0.194,1,-0.45,NULL,4.39519,7.66719,2.033,0.2439,-0.5122,-0.0056,4.70129,1.876,0.4685,0.0636,32.03,3.203
Owen Miller,27,680911,milleow01,2024,MIL,1,NL,1,0,6,0,6,4,1.028,-0.068,0,0.173,101,102,0.803,11,0.0027,64,-3.197,-3.204,-3.01,0.198,0,-0.11,740000,4.47804,7.68204,2.038,0.2498,-0.2502,0.1197,4.66722,1.879,0.4806,0.0192,27.475,1.099
Daniel Castano,28,641447,castada01,2023,MIA,1,NL,2,0,9,0,9,8,1.556,-0.103,0,-0.022,102,94.8,1.398,13,0.0032,-7,-6.602,-6.596,-6.308,0.208,0.085,-0.25,NULL,4.70669,8.00469,2.064,0.2505,-0.499,0.2197,4.85533,1.903,0.4852,0.0291,24.75714286,1.733
Javy Guerra,26,642770,guerrja02,2022,SDP,1,NL,1,0,6,0,6,4,0.979,-0.065,0,0.04,93,98,0.857,8,0.002,20,-3.143,-3.138,-2.96,0.194,0.02,-0.11,NULL,4.39519,7.53319,2.027,0.2512,-0.2488,0.1164,4.57885,1.869,0.4809,0.0193,25.2,1.008
Joel Kuhnel,29,669270,kuhnejo01,2024,HOU,1,AL,1,0,6,0,6,4,1.023,-0.069,0,0.03,98,96,0.887,9,0.0023,13,-3.113,-3.123,-2.93,0.193,0.18,-0.13,NULL,4.38443,7.50743,2.025,0.2518,-0.2482,0.0977,4.56449,1.867,0.4812,0.0193,26.125,1.045
David McKay,27,641853,mckayda02,2022,TBR,2,AL,1,0,6,0,6,4,1.079,-0.072,0,0.053,94,98,0.935,9,0.0022,24,-3.065,-3.055,-2.888,0.188,0.28,-0.14,NULL,4.25074,7.30574,2.009,0.252,-0.248,0.0844,4.43062,1.851,0.4808,0.0193,24.525,0.981
Elvin RodrÃ­guez,24,660730,rodriel02,2022,DET,1,AL,7,5,89,81,8,35,14.933,0.537,0,0.643,100,97.804,14.501,102,0.0238,27,-20.499,-20.346,-17.869,0.188,1.37,-1.45,NULL,4.25074,7.15731,2.001,0.2606,-1.6758,-0.0545,4.63191,1.864,0.4601,0.2805,37.05714286,12.97
Spencer Howard,27,675921,howarsp01,2024,CLE,2,AL,2,1,15,9,6,8,2.512,0.001,0,0.413,101,102,2.142,21,0.0053,78,-5.858,-5.882,-5.401,0.193,0.26,-0.36,NULL,4.38443,7.32543,2.016,0.2622,-0.4756,0.0643,4.60951,1.87,0.4766,0.048,48.52,2.426
Trey Wingenter,30,622259,wingetr01,2024,BOS,1,AL,2,0,7,0,7,7,1.195,-0.08,0,0.088,106,112,1.15,9,0.0021,42,-5.85,-5.861,-5.637,0.193,0.04,-0.23,NULL,4.38443,7.31493,2.016,0.2627,-0.4746,0.223,4.48947,1.863,0.489,0.0226,18.21428571,1.275
Caleb Kilian,25,668873,kiliaca01,2022,CHC,1,NL,3,3,34,34,0,15,5.836,0.266,0,0.025,103,104.393,6.344,34,0.0082,3,-8.656,-8.629,-7.617,0.194,1,-0.6,NULL,4.39519,7.27152,2.014,0.2662,-0.7014,-0.0095,4.7421,1.879,0.4644,0.1078,41.75384615,5.428
Drew Rucinski,34,607968,rucindr01,2023,OAK,1,AL,4,4,54,54,0,22,9.367,0.429,0,-1.384,95,93.284,10.429,74,0.0173,-80,-11.571,-11.792,-9.841,0.203,1,-0.77,3000000,4.6077,7.5557,2.038,0.2674,-0.9304,-0.0111,5.03579,1.908,0.4577,0.17,47.55,8.559
Connor Seabold,26,657756,seaboco01,2022,BOS,1,AL,5,5,55,55,0,24,8.855,0.408,0,0.129,108,109.02,9.958,68,0.0161,8,-14.042,-13.947,-12.417,0.188,1,-1,NULL,4.25074,7.04014,1.995,0.2677,-1.1615,-0.0136,4.58052,1.86,0.4653,0.1742,37.8826087,8.713
Paolo Espino,36,502179,espinpa01,2023,WSN,1,NL,3,0,12,0,12,11,2.081,-0.137,0,-0.145,98,98,2.047,22,0.005,-29,-8.953,-8.945,-8.56,0.208,0.1333,-0.37,NULL,4.70669,7.68836,2.049,0.2679,-0.6963,0.2903,4.83881,1.902,0.4868,0.0389,18.72727273,2.06
Will Warren,25,701542,warrewi01,2024,NYY,1,AL,6,5,68,65,3,27,10.258,0.415,0,0.68,102,102.327,10.226,69,0.017,40,-16.774,-16.884,-14.701,0.193,0.29,-1.16,NULL,4.38443,7.19843,2.01,0.2696,-1.3824,0.0054,4.72454,1.877,0.465,0.2154,40.37307692,10.497
Christian Bethancourt,31,542194,bethach01,2023,TBR,1,AL,1,0,1,0,1,3,0.17,-0.011,0,0.023,97,94,0.128,4,0.001,23,-2.872,-2.876,-2.84,0.203,0,-0.11,1350000,4.6077,7.4837,2.035,0.2715,-0.2285,0.1135,4.63941,1.885,0.4968,0.0032,10.83333333,0.325
Jonathan Bowlan,27,680742,bowlajo01,2024,KCR,1,AL,1,1,8,8,0,4,1.254,0.057,0,0.07,105,100,1.241,11,0.0027,26,-2.759,-2.772,-2.515,0.193,1,-0.2,740000,4.38443,7.15643,2.008,0.2721,-0.2279,-0.0018,4.62451,1.871,0.4751,0.0255,35.525,1.421
Anthony Misiewicz,28,664948,misiean01,2023,DET,2,AL,1,0,1,0,1,3,0.21,-0.014,0,0.026,103,108,0.184,5,0.0012,22,-2.816,-2.82,-2.784,0.203,0.55,-0.17,NULL,4.6077,7.4277,2.032,0.2748,-0.2252,0.0499,4.63941,1.885,0.4968,0.0032,11,0.33
Simeon Woods Richardson,22,680573,woodssi01,2023,MIN,1,AL,1,0,14,0,14,5,2.55,-0.17,0,0.104,100,100,2.276,16,0.004,26,-2.724,-2.781,-2.276,0.203,0.32,-0.11,NULL,4.6077,7.3887,2.03,0.2772,-0.2228,0.0648,5.05164,1.909,0.4562,0.044,48.68,2.434
Julio Teheran,33,527054,teherju01,2024,NYM,1,NL,1,1,8,8,0,4,1.276,0.059,0,0.036,95,100,1.299,11,0.0028,13,-2.701,-2.71,-2.452,0.198,1,-0.2,NULL,4.47804,7.18804,2.014,0.2783,-0.2217,-0.0022,4.73028,1.883,0.4742,0.0255,33.375,1.335
Brendon Little,25,663893,littlbr02,2022,CHC,1,NL,1,0,2,0,2,3,0.36,-0.024,0,0.003,103,98,0.326,4,0.001,3,-2.674,-2.672,-2.613,0.194,1.58,-0.28,NULL,4.39519,7.06719,2.004,0.2785,-0.2215,-0.066,4.45641,1.862,0.4936,0.0065,15.96666667,0.479
Madison Bumgarner,33,518516,bumgama01,2023,ARI,1,NL,4,4,50,50,0,20,9.138,0.426,0,0.597,99,99.667,8.937,64,0.0153,39,-11.063,-11.028,-9.427,0.208,1,-0.73,23000000,4.70669,7.46369,2.039,0.2809,-0.8764,-0.0116,5.11957,1.918,0.4598,0.158,43.61578947,8.287
Jack Leiter,24,683004,leiteja01,2024,TEX,1,AL,9,6,107,70,37,39,17.07,0.111,0,1.055,98,96.439,15.552,121,0.0293,36,-23.448,-23.622,-20.187,0.193,0.81,-1.61,740000,4.38443,7.0091,2.001,0.2811,-1.9701,0.0239,4.74122,1.878,0.4633,0.3389,45.09428571,15.783
Chad Pinder,30,640461,pindech01,2022,OAK,1,AL,1,0,3,0,3,3,0.485,-0.032,0,-0.023,95,90,0.428,4,0.0009,-26,-2.572,-2.567,-2.483,0.188,0,-0.1,2725000,4.25074,6.81774,1.984,0.2814,-0.2186,0.1069,4.34068,1.846,0.4903,0.0097,19.33333333,0.58
Matt Krook,29,640454,krookma01,2024,BAL,1,AL,1,0,3,0,3,3,0.511,-0.034,0,-0.009,93,86,0.418,3,0.0007,-13,-2.582,-2.587,-2.491,0.193,0.02,-0.1,740000,4.38443,6.97143,1.999,0.2835,-0.2165,0.104,4.47446,1.862,0.4905,0.0097,29.25,0.585
Jake Woodford,27,663765,woodfja01,2024,CHW,1,AL,2,2,25,25,0,10,3.839,0.174,0,-0.672,102,104,4.872,33,0.0079,-85,-5.128,-5.169,-4.366,0.193,1,-0.36,NULL,4.38443,6.96893,1.999,0.2837,-0.4326,-0.0055,4.75956,1.879,0.4615,0.079,39.67,3.967
J.C. MejÃ­a,25,650496,mejiaje02,2022,MIL,1,NL,2,0,7,0,7,6,0.974,-0.065,0,0.12,99,109.5,0.864,10,0.0025,48,-5.136,-5.131,-4.922,0.194,0.07,-0.21,NULL,4.39519,6.96069,1.999,0.2851,-0.4298,0.1935,4.50233,1.864,0.4888,0.0226,20.16666667,1.21
Victor Caratini,28,605170,caratvi01,2022,MIL,1,NL,1,0,3,0,3,3,0.576,-0.039,0,0.062,99,98,0.466,5,0.0013,48,-2.534,-2.532,-2.442,0.194,0.01,-0.1,NULL,4.39519,6.92719,1.997,0.2873,-0.2127,0.1025,4.48702,1.863,0.4904,0.0097,20.53333333,0.616
Donovan Walton,28,622268,waltodo01,2022,SFG,2,NL,1,0,3,0,3,3,0.407,-0.027,0,-0.077,97,102,0.466,6,0.0014,-55,-2.534,-2.532,-2.442,0.194,0,-0.1,NULL,4.39519,6.92719,1.997,0.2873,-0.2127,0.1036,4.48702,1.863,0.4904,0.0097,20.23333333,0.607
Kohei Arihara,29,685503,arihako01,2022,TEX,1,AL,5,4,60,54,6,22,9.149,0.319,0,0.191,102,104.519,9.696,80,0.0191,10,-12.304,-12.201,-10.531,0.188,0.31,-0.84,3600000,4.25074,6.69094,1.978,0.2896,-1.052,0.0181,4.6105,1.862,0.4623,0.1893,42.72380952,8.972
Shaun Anderson,29,641312,andersh01,2024,MIA,2,NL,4,2,39,16,23,17,6.198,-0.127,0,-0.292,109,110.324,7.02,60,0.0139,-21,-9.98,-10.025,-8.766,0.198,0.31,-0.57,NULL,4.47804,6.98429,2.004,0.291,-0.836,0.1451,4.78546,1.886,0.4687,0.1239,51.42307692,6.685
Matt Beaty,30,607461,beatyma01,2023,SFG,1,NL,1,0,3,0,3,3,0.403,-0.027,0,-0.014,96,108,0.421,5,0.0012,-12,-2.579,-2.577,-2.481,0.208,0,-0.1,1250000,4.70669,7.28369,2.03,0.2919,-0.2081,0.1012,4.80578,1.9,0.4901,0.0097,21.1,0.633
Dee Strange-Gordon,34,543829,gordode01,2022,WSN,1,NL,1,0,3,0,3,3,0.526,-0.035,0,-0.038,97,102,0.54,4,0.0009,-42,-2.46,-2.458,-2.368,0.194,0,-0.1,NULL,4.39519,6.85319,1.993,0.2921,-0.2079,0.1012,4.48702,1.863,0.4904,0.0097,20.23333333,0.607
Johan Quezada,28,629498,quezajo01,2023,MIA,1,NL,1,0,2,0,2,3,0.446,-0.029,0,-0.005,102,104,0.439,3,0.0007,-7,-2.561,-2.56,-2.496,0.208,0.29,-0.13,NULL,4.70669,7.26669,2.029,0.2929,-0.2071,0.0716,4.77275,1.898,0.4934,0.0065,17.23333333,0.517
Spenser Watkins,30,657093,watkisp01,2023,OAK,1,AL,1,1,13,13,0,5,2.2,0.101,0,-0.28,95,98,2.529,15,0.0035,-80,-2.471,-2.524,-2.055,0.203,1,-0.17,NULL,4.6077,7.1317,2.018,0.2929,-0.2071,-0.0027,5.01993,1.907,0.4592,0.041,43.8,2.19
Caleb Kilian,26,668873,kiliaca01,2023,CHC,1,NL,3,1,16,10,6,10,2.575,0.011,0,0.217,102,101.818,2.412,22,0.0053,41,-7.588,-7.577,-7.064,0.208,0.17,-0.48,NULL,4.70669,7.23236,2.027,0.2951,-0.6147,0.0877,4.88285,1.905,0.4825,0.0516,26.9,2.69
Lane Thomas,27,657041,thomala02,2023,WSN,1,NL,1,0,3,0,3,3,0.501,-0.033,0,-0.032,98,96,0.48,5,0.0011,-29,-2.52,-2.518,-2.422,0.208,0,-0.1,2200000,4.70669,7.22469,2.027,0.2955,-0.2045,0.0994,4.80578,1.9,0.4901,0.0097,21.4,0.642
